"Transaction ID","Posting Date","Effective Date","Transaction Type","Amount","Check Number","Reference Number","Description","Transaction Category","Type","Balance","Memo","Extended Description"
"20230227 1957816 9,247 202,302,273,420","2/27/2023","2/27/2023","Debit","-92.47000","","1488899631","WinCo Foods","Groceries","Point Of Sale Transactions","1782.89000","","Point Of Sale Withdrawal 7682301670013 WINCO FOODS #167 1407 WMeridian     IDUS"
"20230227 1957816 4,164 202,302,273,419","2/27/2023","2/27/2023","Debit","-41.64000","","1488899632","Target","Shopping","Point Of Sale Transactions","1875.36000","","Point Of Sale Withdrawal 910000000123 TARGET        00012302 BOISE        IDUS"
"20230224 1957816 2,613 202,302,243,418","2/24/2023","2/24/2023","Debit","-26.13000","","1486084640","Walmart","Shopping","Point Of Sale Transactions","1917.00000","club soda half n half paper exfoliator","Point Of Sale Withdrawal WM SUPERCENTER #5841 Wal-Mart Super Center  MERIDIAN     IDU"
"20230223 1957816 1,376 202,302,233,417","2/23/2023","2/23/2023","Debit","-13.76000","","1484885551","Taco Bell","Restaurants & Dining","Point Of Sale Transactions","1943.13000","","Point Of Sale Withdrawal 345044843885 TACO BELL #030443      EAGLE        IDUS"
"20230221 1957816 4,587 202,302,213,416","2/21/2023","2/21/2023","Debit","-45.87000","","1483345071","Chevron","Gasoline/Fuel","Point Of Sale Transactions","1956.89000","","Point Of Sale Withdrawal 100401 CHEVRON/JACKSONS FOOD SCALDWELL     IDUS"
"20230221 1957816 137,500 202,302,213,415","2/21/2023","2/21/2023","Debit","-1375.00000","","1483345072","Payment to Apple Card","Credit Card Payments","Automated Withdrawal Transactions","2002.76000","","ACH Withdrawal APPLECARD GSBANK  - PAYMENT"
"20230221 1957816 6,597 202,302,213,414","2/21/2023","2/21/2023","Credit","65.97000","","1482498316","Deposit #56365652# Transfer From *****7515","Deposits","Deposit Transactions","3377.76000","","Deposit #56365652# Transfer From *****7515"
"20230221 1957816 6,645 202,302,213,413","2/21/2023","2/21/2023","Debit","-66.45000","","1482301835","WinCo Foods","Groceries","Point Of Sale Transactions","3311.79000","","Point Of Sale Withdrawal 7682301670005 WINCO FOODS #167 1407 WMeridian     IDUS"
"20230218 1957816 782 202,302,183,412","2/18/2023","2/18/2023","Credit","7.82000","","1481373586","Deposit #56312643# Transfer From *****5988","Deposits","Deposit Transactions","3378.24000","","Deposit #56312643# Transfer From *****5988"
"20230218 1957816 136,099 202,302,183,411","2/18/2023","2/18/2023","Credit","1360.99000","","1481372716","Deposit #56312599# Transfer From *****3001","Deposits","Deposit Transactions","3370.42000","","Deposit #56312599# Transfer From *****3001"
"20230218 1957816 7,500 202,302,183,410","2/18/2023","2/18/2023","Debit","-75.00000","","1481372415","Withdrawal #54912050# Transfer To *****5953","Transfers","Withdrawal Transactions","2009.43000","","Withdrawal #54912050# Transfer To *****5953"
"20230217 1957816 37,440 202,302,173,409","2/17/2023","2/17/2023","Debit","-374.40000","","1480666825","Withdrawal #54074143# Transfer To *****3965","Transfers","Withdrawal Transactions","2084.43000","","Withdrawal #54074143# Transfer To *****3965"
"20230216 1957816 235,834 202,302,163,408","2/16/2023","2/16/2023","Credit","2358.34000","","1479439904","ACH Deposit 1x123-SILVER CRE XX54 - DIRDEP","Deposits","Automated Deposit Transactions","2458.83000","","ACH Deposit 11123-SILVER CRE 11335054 - DIRDEP"
"20230213 1957816 6,517 202,302,133,407","2/13/2023","2/13/2023","Debit","-65.17000","","1477061648","Withdrawal #56070864# Transfer To *****5988 Leftover from Dates into An","Transfers","Withdrawal Transactions","100.49000","","Withdrawal #56070864# Transfer To *****5988 Leftover from Dates into An"
"20230211 1957816 8,989 202,302,113,406","2/11/2023","2/11/2023","Debit","-89.89000","","1477055927","WinCo Foods","Groceries","Point Of Sale Transactions","165.66000","","Point Of Sale Withdrawal 7682301670012 WINCO FOODS #167 1407 WMeridian     IDUS"
"20230210 1957816 3,600 202,302,103,405","2/10/2023","2/10/2023","Debit","-36.00000","","1475471393","Point Of Sale Withdrawal XX4996 SQ *AMANDA RINE CALDWELL IDUS","Restaurants & Dining","Point Of Sale Transactions","255.55000","","Point Of Sale Withdrawal 445301504996 SQ *AMANDA RINE        CALDWELL     IDUS"
"20230210 1957816 4,613 202,302,103,404","2/10/2023","2/10/2023","Debit","-46.13000","","1475471394","Chevron","Gasoline/Fuel","Point Of Sale Transactions","291.55000","","Point Of Sale Withdrawal 100401 CHEVRON/JACKSONS FOOD SMERIDIAN     IDUS"
"20230207 1957816 782 202,302,073,403","2/7/2023","2/7/2023","Debit","-7.82000","","1473393932","McDonald's","Restaurants & Dining","Point Of Sale Transactions","337.68000","Megans dinner ","Point Of Sale Withdrawal MCDONALD'S F33785 1460 W CHINDEN BLVD    MERIDIAN     IDUS"
"20230207 1957816 7,045 202,302,073,402","2/7/2023","2/7/2023","Debit","-70.45000","","1473393933","Payment to Progressive Corporation","Insurance","Automated Withdrawal Transactions","345.50000","","ACH Withdrawal PROG DIRECT INS BRANCH09DEBIT  ACH - INS PREM"
"20230206 1957816 4,331 202,302,063,401","2/6/2023","2/6/2023","Debit","-43.31000","","1472502709","Target","Shopping","Point Of Sale Transactions","415.95000","deodorant cleaning supplies basket shirt","Point Of Sale Withdrawal 910000000123 TARGET        00012302 BOISE        IDUS"
"20230206 1957816 2,653 202,302,063,400","2/6/2023","2/6/2023","Credit","26.53000","","1471696953","Deposit #55795799# Transfer From *****2797 Chick Fil A (xmas money)","Deposits","Deposit Transactions","459.26000","chick fil a and shirt from target","Deposit #55795799# Transfer From *****2797 Chick Fil A (xmas money)"
"20230203 1957816 6,968 202,302,033,399","2/3/2023","2/3/2023","Debit","-69.68000","","1471117050","WinCo Foods","Groceries","Point Of Sale Transactions","432.73000","","Point Of Sale Withdrawal 7682301670011 WINCO FOODS #167 1407 WMeridian     IDUS"
"20230201 1957816 3,000 202,302,013,398","2/1/2023","2/1/2023","Debit","-30.00000","","1469302595","Withdrawal #55001217# Transfer To *****4971","Transfers","Withdrawal Transactions","502.41000","","Withdrawal #55001217# Transfer To *****4971"
"20230201 1957816 3,000 202,302,013,397","2/1/2023","2/1/2023","Debit","-30.00000","","1469302596","Withdrawal #54963536# Transfer To *****2797 Personal","Transfers","Withdrawal Transactions","532.41000","","Withdrawal #54963536# Transfer To *****2797 Personal"
"20230201 1957816 3,000 202,302,013,396","2/1/2023","2/1/2023","Debit","-30.00000","","1469302597","Withdrawal #54912144# Transfer To *****7515","Transfers","Withdrawal Transactions","562.41000","","Withdrawal #54912144# Transfer To *****7515"
"20230201 1957816 57,685 202,302,013,395","2/1/2023","2/1/2023","Debit","-576.85000","","1468536320","Payment to Apple Card","Credit Card Payments","Automated Withdrawal Transactions","592.41000","","ACH Withdrawal APPLECARD GSBANK  - PAYMENT"
"20230201 1957816 4,507 202,302,013,394","2/1/2023","2/1/2023","Debit","-45.07000","","1468536319","Chevron","Gasoline/Fuel","Point Of Sale Transactions","1169.26000","","Point Of Sale Withdrawal 596074001524073 CHEVRON 0304471        MERIDIAN     IDUS"
