"Transaction ID","Posting Date","Effective Date","Transaction Type","Amount","Check Number","Reference Number","Description","Transaction Category","Type","Balance","Memo","Extended Description"
"20240104 1957816 2,850 202,401,043,747","1/4/2024","1/4/2024","Credit","28.50000","","1731181303","Deposit #69435087# Transfer From *****7515 Kinjaz shirt","Deposits","Deposit Transactions","2720.47000","","Deposit #69435087# Transfer From *****7515 Kinjaz shirt"
"20240103 1957816 16,905 202,401,033,746","1/3/2024","1/3/2024","Credit","169.05000","","1730648653","Deposit #69405584# Transfer From *****9295 Shelves, storage - target","Deposits","Deposit Transactions","2691.97000","","Deposit #69405584# Transfer From *****9295 Shelves, storage - target"
"20240103 1957816 184,877 202,401,033,745","1/3/2024","1/3/2024","Debit","-1848.77000","","1730291777","Payment to Apple Card","Credit Card Payments","Automated Withdrawal Transactions","2522.92000","","ACH Withdrawal APPLECARD GSBANK  - PAYMENT"
"20240101 1957816 2,500 202,401,013,744","1/1/2024","1/1/2024","Debit","-25.00000","","1728791845","Withdrawal #65443273# Transfer To *****5988 Other Fund","Transfers","Withdrawal Transactions","4371.69000","","Withdrawal #65443273# Transfer To *****5988 Other Fund"
"20240101 1957816 3,000 202,401,013,743","1/1/2024","1/1/2024","Debit","-30.00000","","1728791846","Withdrawal #65443225# Transfer To *****2797 Personal","Transfers","Withdrawal Transactions","4396.69000","","Withdrawal #65443225# Transfer To *****2797 Personal"
"20240101 1957816 3,000 202,401,013,742","1/1/2024","1/1/2024","Debit","-30.00000","","1728791847","Withdrawal #65441646# Transfer To *****7515","Transfers","Withdrawal Transactions","4426.69000","","Withdrawal #65441646# Transfer To *****7515"
"20240101 1957816 3,000 202,401,013,741","1/1/2024","1/1/2024","Debit","-30.00000","","1728791848","Withdrawal #65441166# Transfer To *****4971","Transfers","Withdrawal Transactions","4456.69000","","Withdrawal #65441166# Transfer To *****4971"
"20231229 1957816 9,806 202,312,293,740","12/29/2023","12/29/2023","Debit","-98.06000","","1728198669","WinCo Foods","Groceries","Point Of Sale Transactions","4486.69000","","Point Of Sale Withdrawal 76823016713 WINCO FOODS #167 WINCO1MERIDIAN     IDUS"
"20231229 1957816 15,000 202,312,293,739","12/29/2023","12/29/2023","Credit","150.00000","","1728198670","Idaho Central Credit Union Deposit","Deposits","ATM Transactions","4584.75000","","ATM Deposit IDAHO CENTRAL CU 6348 N LINDER RD       MERIDIAN     IDUS"
"20231228 1957816 2,976 202,312,283,738","12/28/2023","12/28/2023","Debit","-29.76000","","1728198671","Walmart","Shopping","Point Of Sale Transactions","4434.75000","","Point Of Sale Withdrawal WAL-MART #5841 5001 N TEN MILE RD     MERIDIAN     IDUS"
"20231227 1957816 3,000 202,312,273,737","12/27/2023","12/27/2023","Debit","-30.00000","","1728198674","Payment to Lumen Technologies","Telephone Services","Automated Withdrawal Transactions","4464.51000","","ACH Withdrawal LumenCenturyLink  - SPEEDPAY"
"20231222 1957816 7,504 202,312,223,736","12/22/2023","12/22/2023","Debit","-75.04000","","1728198673","WinCo Foods","Groceries","Point Of Sale Transactions","4494.51000","","Point Of Sale Withdrawal 76823016702 WINCO FOODS #167 WINCO1MERIDIAN     IDUS"
"20231221 1957816 229,834 202,312,213,735","12/21/2023","12/21/2023","Credit","2298.34000","","1728198676","ACH Deposit CALDWELL SCHOOL PAYROLL - PAYROLL","Paychecks/Salary","Automated Deposit Transactions","4569.55000","","ACH Deposit CALDWELL SCHOOL PAYROLL - PAYROLL"
"20231220 1957816 240,387 202,312,203,734","12/20/2023","12/20/2023","Debit","-2403.87000","","1728198677","Payment to Apple Card","Credit Card Payments","Automated Withdrawal Transactions","2271.21000","","ACH Withdrawal APPLECARD GSBANK  - PAYMENT"
"20231219 1957816 4,152 202,312,193,733","12/19/2023","12/19/2023","Debit","-41.52000","","1718524250","Chevron","Gasoline/Fuel","Point Of Sale Transactions","4675.08000","","Point Of Sale Withdrawal 596366301524073 CHEVRON 0359129        MERIDIAN     IDUS"
"20231218 1957816 300,000 202,312,183,732","12/18/2023","12/18/2023","Credit","3000.00000","","1718305370","Deposit #68767392# Transfer From *****2762 Apple Card payments","Deposits","Deposit Transactions","4716.60000","","Deposit #68767392# Transfer From *****2762 Apple Card payments"
"20231218 1957816 7,500 202,312,183,731","12/18/2023","12/18/2023","Debit","-75.00000","","1718303721","Withdrawal #64897230# Transfer To *****5953","Transfers","Withdrawal Transactions","1716.60000","","Withdrawal #64897230# Transfer To *****5953"
"20231218 1957816 6,786 202,312,183,730","12/18/2023","12/18/2023","Debit","-67.86000","","1718303722","Payment to Idaho Power","Utilities","Automated Withdrawal Transactions","1791.60000","","ACH Withdrawal Electronic Payme  - IDAPOWER"
"20231218 1957816 8,934 202,312,183,729","12/18/2023","12/18/2023","Debit","-89.34000","","1717314904","WinCo Foods","Groceries","Point Of Sale Transactions","1859.46000","","Point Of Sale Withdrawal 76823016711 WINCO FOODS #167 WINCO1MERIDIAN     IDUS"
"20231215 1957816 4,288 202,312,153,728","12/15/2023","12/15/2023","Debit","-42.88000","","1717314905","Chevron","Gasoline/Fuel","Point Of Sale Transactions","1948.80000","","Point Of Sale Withdrawal 596366301524073 CHEVRON 0359129        MERIDIAN     IDUS"
"20231211 1957816 6,150 202,312,113,727","12/11/2023","12/11/2023","Debit","-61.50000","","1712545218","Hobby Lobby","Hobbies","Point Of Sale Transactions","1991.68000","","Point Of Sale Withdrawal HOBBYLOBBY 3547 N. EAGLE ROAD     MERIDIAN     IDUS"
