Transaction ID,Posting Date,Effective Date,Transaction Type,Amount,Check Number,Reference Number,Description,Transaction Category,Type,Balance,Memo,Extended Description
"20230130 1957816 4,972 202,301,303,393",1/30/2023,1/30/2023,Debit,-49.72,,1467664326,WinCo Foods,Groceries,Point Of Sale Transactions,1214.33,,Point Of Sale Withdrawal 7682301670011 WINCO FOODS #167 1407 WMeridian     IDUS
"20230130 1957816 2,178 202,301,303,392",1/30/2023,1/30/2023,Credit,21.78,,1466551671,Deposit #55501526# Transfer From *****7515,Deposits,Deposit Transactions,1264.05,,Deposit #55501526# Transfer From *****7515
"20230128 1957816 7,903 202,301,283,391",1/28/2023,1/28/2023,Credit,79.03,,1466061508,Deposit #55478229# Transfer From *****7515,Deposits,Deposit Transactions,1242.27,,Deposit #55478229# Transfer From *****7515
"20230127 1957816 65,000 202,301,273,390",1/27/2023,1/27/2023,Credit,650,,1465466911,Deposit #55446938# Transfer From *****2762,Deposits,Deposit Transactions,1163.24,,Deposit #55446938# Transfer From *****2762
"20230123 1957816 4,528 202,301,233,389",1/23/2023,1/23/2023,Debit,-45.28,,1464569354,WinCo Foods,Groceries,Point Of Sale Transactions,513.24,,Point Of Sale Withdrawal 7682301670014 WINCO FOODS #167 1407 WMeridian     IDUS
"20230123 1957816 12,700 202,301,233,388",1/23/2023,1/23/2023,Debit,-127,,1462067510,Point Of Sale Withdrawal XX6992 CORTLAND AT TEN MIL MERIDIAN IDUS,Cable & Satellite,Point Of Sale Transactions,558.52,,Point Of Sale Withdrawal 445746866992 CORTLAND AT TEN MIL    MERIDIAN     IDUS
"20230121 1957816 4,134 202,301,213,387",1/21/2023,1/21/2023,Debit,-41.34,,1461666372,Maverik,Gasoline/Fuel,Point Of Sale Transactions,685.52,Gas for Beetle,Point Of Sale Withdrawal MAVERIK #661 410 N. 21ST AVE        CALDWELL     IDUS
"20230121 1957816 1,800 202,301,213,386",1/21/2023,1/21/2023,Credit,18,,1460827590,Deposit #55212132# Transfer From *****7515,Deposits,Deposit Transactions,726.86,,Deposit #55212132# Transfer From *****7515
"20230118 1957816 7,500 202,301,183,385",1/18/2023,1/18/2023,Debit,-75,,1459268080,Withdrawal #54912049# Transfer To *****5953,Transfers,Withdrawal Transactions,708.86,,Withdrawal #54912049# Transfer To *****5953
"20230117 1957816 37,440 202,301,173,384",1/17/2023,1/17/2023,Debit,-374.4,,1458103251,Withdrawal #54074142# Transfer To *****3965,Transfers,Withdrawal Transactions,783.86,,Withdrawal #54074142# Transfer To *****3965
"20230117 1957816 9,735 202,301,173,383",1/17/2023,1/17/2023,Debit,-97.35,,1457652497,WinCo Foods,Groceries,Point Of Sale Transactions,1158.26,,Point Of Sale Withdrawal 7682301670008 WINCO FOODS #167 1407 WMeridian     IDUS
"20230117 1957816 3,000 202,301,173,382",1/17/2023,1/17/2023,Debit,-30,,1456997667,Withdrawal #55001241# Transfer To *****4971,Transfers,Withdrawal Transactions,1255.61,,Withdrawal #55001241# Transfer To *****4971
"20230117 1957816 9,008 202,301,173,381",1/17/2023,1/17/2023,Credit,90.08,,1456989360,Deposit #55000746# Transfer From *****5953,Deposits,Deposit Transactions,1285.61,,Deposit #55000746# Transfer From *****5953
"20230114 1957816 692 202,301,143,380",1/14/2023,1/14/2023,Debit,-6.92,,1456434872,Fanci Freez,Restaurants & Dining,Point Of Sale Transactions,1195.53,Date Night,Point Of Sale Withdrawal 4445032883207 TST* FANCI FREEZ - MERIMERIDIAN     IDUS
"20230114 1957816 7,500 202,301,143,379",1/14/2023,1/14/2023,Debit,-75,,1456405475,Withdrawal #54963570# Transfer To *****5953,Transfers,Withdrawal Transactions,1202.45,,Withdrawal #54963570# Transfer To *****5953
"20230114 1957816 3,000 202,301,143,378",1/14/2023,1/14/2023,Debit,-30,,1456404621,Withdrawal #54963554# Transfer To *****2797 Personal,Transfers,Withdrawal Transactions,1277.45,,Withdrawal #54963554# Transfer To *****2797 Personal
"20230114 1957816 82,900 202,301,143,377",1/14/2023,1/14/2023,Debit,-829,,1456402881,Withdrawal #54963436# Transfer To *****2762,Transfers,Withdrawal Transactions,1307.45,,Withdrawal #54963436# Transfer To *****2762
"20230114 1957816 1,900 202,301,143,376",1/14/2023,1/14/2023,Debit,-19,,1456397328,Taco Bell,Restaurants & Dining,Point Of Sale Transactions,2136.45,Before date night,Point Of Sale Withdrawal 345044843885 TACO BELL #030443      EAGLE        IDUS
"20230114 1957816 291 202,301,143,375",1/14/2023,1/14/2023,Debit,-2.91,,1456397329,Sodalicious,Restaurants & Dining,Point Of Sale Transactions,2155.45,Date Night,Point Of Sale Withdrawal 24266100005336 SQ *SODALICIOUS        Meridian     IDUS
"20230113 1957816 3,000 202,301,133,374",1/13/2023,1/13/2023,Debit,-30,,1455612320,Withdrawal #54912164# Transfer To *****7515,Transfers,Withdrawal Transactions,2158.36,,Withdrawal #54912164# Transfer To *****7515
"20230113 1957816 17,100 202,301,133,373",1/13/2023,1/13/2023,Debit,-171,,1455610029,Withdrawal #54911988# Transfer To *****3655,Transfers,Withdrawal Transactions,2188.36,,Withdrawal #54911988# Transfer To *****3655
"20230113 1957816 69,295 202,301,133,372",1/13/2023,1/13/2023,Debit,-692.95,,1455609015,Payment to Apple Card,Credit Card Payments,Automated Withdrawal Transactions,2359.36,,ACH Withdrawal APPLECARD GSBANK  - PAYMENT
"20230113 1957816 171,217 202,301,133,371",1/13/2023,1/13/2023,Credit,1712.17,,1455609016,ACH Deposit 1x123-SILVER CRE XX54 - DIRDEP,Deposits,Automated Deposit Transactions,3052.31,,ACH Deposit 11123-SILVER CRE 11335054 - DIRDEP
"20230113 1957816 3,690 202,301,133,370",1/13/2023,1/13/2023,Debit,-36.9,,1455609011,Chevron,Gasoline/Fuel,Point Of Sale Transactions,1340.14,,Point Of Sale Withdrawal 620243901524073 CHEVRON 0380451        CALDWELL     IDUS
"20230112 1957816 48,535 202,301,123,369",1/12/2023,1/12/2023,Credit,485.35,,1455153462,Deposit #54885837# Transfer From *****5953,Deposits,Deposit Transactions,1377.04,,Deposit #54885837# Transfer From *****5953
